Format Version,1.24,Take Name,Take 2025-12-05 04.42.50 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-12-05 04.42.51.191 PM,Capture Start Frame,1038231,Total Frames in Take,3273,Total Exported Frames,3273,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z
122,1.220000,-0.009629,0.000769,-0.721176,0.692685,-357.752533,1437.136475,110.478195
123,1.230000,-0.009530,0.000803,-0.721108,0.692757,-357.752441,1437.135498,110.467178
124,1.240000,-0.009578,0.000964,-0.721154,0.692708,-357.745514,1437.140625,110.470345
125,1.250000,-0.009609,0.000942,-0.721198,0.692662,-357.740295,1437.140259,110.473816
126,1.260000,-0.009514,0.000963,-0.721143,0.692720,-357.737457,1437.143921,110.484604
127,1.270000,-0.009613,0.000869,-0.721155,0.692707,-357.746796,1437.149414,110.478806
128,1.280000,-0.009477,0.000776,-0.721138,0.692726,-357.753662,1437.140259,110.473900
129,1.290000,-0.009592,0.000844,-0.721062,0.692803,-357.756073,1437.136230,110.465378
130,1.300000,-0.009527,0.000786,-0.721106,0.692759,-357.742950,1437.140991,110.471222
131,1.310000,-0.009553,0.000799,-0.721135,0.692728,-357.736969,1437.149780,110.472076
132,1.320000,-0.009512,0.000662,-0.721160,0.692703,-357.741058,1437.145386,110.481873
133,1.330000,-0.009588,0.000813,-0.721131,0.692732,-357.747437,1437.135742,110.478249
134,1.340000,-0.009509,0.000787,-0.721137,0.692727,-357.752777,1437.135254,110.476753
135,1.350000,-0.009513,0.000801,-0.721099,0.692766,-357.750122,1437.142700,110.474152
136,1.360000,-0.009447,0.000790,-0.721119,0.692747,-357.749298,1437.143066,110.476311
137,1.370000,-0.009527,0.000820,-0.721107,0.692758,-357.742676,1437.144165,110.474152
138,1.380000,-0.009536,0.000786,-0.721191,0.692670,-357.738251,1437.139893,110.475487
139,1.390000,-0.009445,0.000752,-0.721096,0.692770,-357.740051,1437.138062,110.472382
140,1.400000,-0.009399,0.000734,-0.721116,0.692750,-357.744873,1437.132568,110.471588
141,1.410000,-0.009434,0.000800,-0.721105,0.692761,-357.749329,1437.137695,110.467163
142,1.420000,-0.009540,0.000832,-0.721190,0.692671,-357.767761,1437.140137,110.480186
143,1.430000,-0.009465,0.000866,-0.721159,0.692704,-357.753357,1437.141724,110.473488
144,1.440000,-0.009494,0.000770,-0.721191,0.692671,-357.750122,1437.145020,110.479515
145,1.450000,-0.009506,0.000794,-0.721120,0.692745,-357.738495,1437.136353,110.465996
146,1.460000,-0.009577,0.000893,-0.721139,0.692724,-357.748688,1437.140991,110.467789
147,1.470000,-0.009519,0.000736,-0.721106,0.692759,-357.746857,1437.139404,110.464745
148,1.480000,-0.009525,0.000821,-0.721157,0.692705,-357.756012,1437.146484,110.474388
149,1.490000,-0.009570,0.000801,-0.721296,0.692560,-357.763184,1437.145630,110.482002
150,1.500000,-0.009525,0.000873,-0.721126,0.692738,-357.750793,1437.150513,110.476791
151,1.510000,-0.009513,0.000776,-0.721102,0.692763,-357.752167,1437.143677,110.473747
152,1.520000,-0.009527,0.000798,-0.721139,0.692724,-357.753571,1437.138184,110.464859
