Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z,omegas.x,omegas.y,omegas.z,omega
82,0.82,-0.004582,-0.004694,-0.714911,0.699185,-13.923636,-570.828918,106.471184,-0.0013538541179928566,-0.03819924244311814,0.030703459804470867,0.04902772162935662
83,0.83,-0.005165,-0.004169,-0.714957,0.699137,-13.925127,-570.875916,106.496231,-0.15667775531236425,-0.009947102889862076,-0.012267213857719561,0.15747173842138662
84,0.84,-0.005557,-0.004036,-0.71486,0.699234,-13.925893,-570.865417,106.494553,-0.07364910670964808,-0.03747490156042425,0.02789765815056633,0.08721719151852161
85,0.85,-0.005588,-0.003963,-0.715051,0.699039,-13.940636,-570.876038,106.508377,-0.015143100736187548,0.00583155615802005,-0.054484108059005276,0.05684926189596334
86,0.86,-0.005278,-0.004338,-0.715236,0.69885,-14.061739,-570.850403,106.475639,0.09661134111245816,-0.008037804698755435,-0.05355815213757831,0.11075573662937313
87,0.87,-0.004238,-0.004931,-0.715113,0.698979,-13.929614,-570.838562,106.447624,0.23043055532403922,0.06586752487664987,0.03411650601480298,0.2420758303568931
88,0.88,-0.005298,-0.00444,-0.71507,0.699019,-13.962183,-570.863892,106.494209,-0.21833122807878805,-0.08296117675221491,0.013193660599220003,0.23393408191734572
89,0.89,-0.004501,-0.004587,-0.714957,0.699139,-13.879345,-570.854675,106.46328,0.13267414263821814,0.09341779646232741,0.032096002532622236,0.16540697143481342
90,0.9,-0.005275,-0.004165,-0.714906,0.699188,-13.932496,-570.853577,106.478882,-0.1684782098574187,-0.0516689754445381,0.015227750122481787,0.17687983094191786
91,0.91,-0.006156,-0.003803,-0.71487,0.69922,-13.938164,-570.868164,106.518539,-0.1748923977550964,-0.07535656109719756,0.010725336579453515,0.19073802698377973
92,0.92,-0.005719,-0.004165,-0.714949,0.699141,-13.922103,-570.863525,106.5252,0.11271104412555501,0.011893285323949683,-0.023120694564138233,0.11567106907432755
93,0.93,-0.004492,-0.004799,-0.715162,0.698928,-13.952042,-570.862244,106.491241,0.2618036096284471,0.08686358411228427,-0.061987478437808274,0.28271692510777274
94,0.94,-0.004826,-0.004318,-0.715006,0.699088,-13.886515,-570.881958,106.498444,-0.11519351403352467,0.01947747163468629,0.0454444459473069,0.12535595416305342
95,0.95,-0.00492,-0.004655,-0.714529,0.699573,-13.888158,-570.805237,106.477661,0.03592861824009046,-0.060602213648275685,0.13580451737010835,0.15299137507010477
96,0.96,-0.00527,-0.004336,-0.714587,0.699513,-13.898794,-570.825562,106.496712,-0.09467011992068787,-0.005383061835065577,-0.016049652482341692,0.0961717230027699
97,0.97,-0.005746,-0.004173,-0.71463,0.699467,-13.901912,-570.831238,106.510574,-0.0899749409682419,-0.04521912456756146,-0.01200542214183642,0.1014119785316259
98,0.98,-0.005922,-0.004217,-0.714943,0.699145,-13.960573,-570.860474,106.546021,-0.01896376063702616,-0.03121931738338298,-0.08971245319077115,0.09686379226981115
99,0.99,-0.004439,-0.004753,-0.714851,0.699246,-13.866334,-570.825806,106.487755,0.2842056141396712,0.13708001679652373,0.02542052497479519,0.31655957607287305
100,1.0,-0.00498,-0.004197,-0.714926,0.69917,-13.883017,-570.870056,106.50264,-0.15528865455383556,0.00040361649968692626,-0.020346538825266602,0.1566164447993485
101,1.01,-0.004849,-0.004277,-0.715027,0.699067,-13.883574,-570.885986,106.491531,0.029569697035973768,0.007558477577747878,-0.029040345535580325,0.042128840892178526
102,1.02,-0.004643,-0.004565,-0.714705,0.699396,-13.89284,-570.835022,106.483482,0.07058160147468094,-0.010837993170361576,0.09161315437179463,0.1161559065077698
103,1.03,-0.004712,-0.004424,-0.715008,0.699087,-13.873818,-570.859863,106.491974,-0.030369903266370263,0.009859280853389326,-0.08635818316137245,0.0920721034965958
104,1.04,-0.005341,-0.004133,-0.714897,0.699197,-13.897658,-570.858765,106.510521,-0.129356693186839,-0.04926840608391325,0.032080675027035266,0.1420904628061772
105,1.05,-0.004873,-0.004656,-0.714716,0.699383,-13.943359,-570.816895,106.487396,0.14057131324500832,-0.0062612412858523495,0.05095956356542253,0.1496541825965591
106,1.06,-0.004155,-0.004828,-0.715526,0.698557,-14.029703,-570.871643,106.461662,0.12345828338059571,0.07859466268343561,-0.23220726002108893,0.2744800181144487
107,1.07,-0.004582,-0.004852,-0.714967,0.699126,-13.937281,-570.83728,106.459007,-0.055209649496874236,-0.06437411513565876,0.15991794464622622,0.18101348324624947
108,1.08,-0.005238,-0.004277,-0.714778,0.699319,-13.919889,-570.84668,106.467972,-0.17358627459913428,-0.013390093509602508,0.05518820432469651,0.18263961024374314
109,1.09,-0.004537,-0.004681,-0.715002,0.699092,-13.92306,-570.830505,106.449409,0.1553691431992606,0.043747379059501636,-0.06480326643768519,0.17393351365979381
110,1.1,-0.005314,-0.004329,-0.714952,0.69914,-13.947862,-570.846863,106.48317,-0.15888466752708694,-0.06189566450169109,0.014901770942954418,0.17116504794067958
111,1.11,-0.004902,-0.004306,-0.715057,0.699036,-13.915052,-570.868958,106.481453,0.05411890321839847,0.0621496242326984,-0.029885199410484287,0.08766160289221503
